creativeId,lastShown,firstShown,live,duration,youtubeUrl,videoId,destination,nRegions,regions,servedIndia,impMin,impMax,transparencyUrl
CR00997749747861159937,2026-08-20,2025-08-15,YES,0:27,https://www.youtube.com/watch?v=8Reb-5dDDEg,8Reb-5dDDEg,http://www.omnisend.com/features/automation/,40,CL VN MY NG KR GR DO JP MK TH PH GB PK ZA RO JM PA MX AU CO DE BD PT TR BG IL CA PL BR HR NL RS FR ES AE US CY AR SE IN,yes,1000,2000,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR00997749747861159937
CR00898114984859402241,2026-08-20,2026-07-03,YES,2:07,https://www.youtube.com/watch?v=uZaNLOGqo1Y,uZaNLOGqo1Y,https://www.omnisend.com/blog/omnisend-new-email-builder/,40,HR BD SI HU PH MX DE FI TR ZA CO GR VN TH RO PK GB CY AE MY ES CL IN EE SE AR IE BG NG PL PT CA IT LV BE FR SK NL BR US,yes,,,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR00898114984859402241
CR05622734660074209281,2026-08-20,2026-04-20,YES,,,,https://www.omnisend.com/features/,31,PT SK NL PL CA DE BG FR SI BR LV AE BD ES BE US IN IE GR NG MY CZ IT TH PK VN ZA HU PH FI RO,yes,1000,2000,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR05622734660074209281
CR13508537607599947777,2026-08-20,2026-04-20,YES,,,,https://www.omnisend.com/features/,27,BR SI BD VN CO IT TR DE CY IN MX FI RO SE ES FR NG ZA PK US PH BG GR PT PL NL HR,yes,,1000,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR13508537607599947777
CR17779722192213245953,2026-08-20,2026-03-17,YES,,,,https://www.omnisend.com/demo/,19,BA DE IT BG GR BD DK NL PT SK US HU HR PK ES RO PH FR IN,yes,,1000,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR17779722192213245953
CR12152531769857409025,2026-08-20,,YES,,,,https://www.omnisend.com/,4,AU GB US CA,no,,,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR12152531769857409025
CR03438236915197804545,2026-08-20,,YES,,,,https://www.omnisend.com/,4,AU GB US CA,no,,,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR03438236915197804545
CR08491156949851701249,2026-08-20,,YES,,,,https://www.omnisend.com/,4,GB US CA AU,no,,,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR08491156949851701249
CR16207019380188381185,2026-08-20,,YES,,,,https://www.omnisend.com/,4,GB US CA AU,no,,,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR16207019380188381185
CR12791116647117094913,2026-08-20,,YES,,,,https://www.omnisend.com/migrate-from-klaviyo/,1,US,no,,,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR12791116647117094913
CR07045362724842242049,2026-08-20,,YES,,,,https://www.omnisend.com/shopify-email-marketing/,1,US,no,,,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR07045362724842242049
CR02009282397962502145,2026-08-20,,YES,8:48,https://www.youtube.com/watch?v=HM2SJ3xi5Ug,HM2SJ3xi5Ug,https://support.omnisend.com/en/articles/16095649-what-s-new-august-2026,1,IN,yes,,,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR02009282397962502145
CR06249758352956456961,2026-08-19,2025-08-14,YES,0:27,https://www.youtube.com/watch?v=1p-E8u2UpPU,1p-E8u2UpPU,http://www.omnisend.com/features/automation/,42,CL IN NG KR GR VN DO GB TH MK JP AU ZA JM PK PA PH MX TR CO DE RO IL BD SK PT NL BG HR PL CA FR ES RS BR US AE CY IT SE AR MY,yes,1000,2000,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR06249758352956456961
CR12346749503787761665,2026-08-19,,YES,,,,https://www.omnisend.com/,4,GB US CA AU,no,,,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR12346749503787761665
CR09437692425343598593,2026-08-19,,YES,,,,https://www.omnisend.com/,4,CA US GB AU,no,,,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR09437692425343598593
CR15772682600402911233,2026-08-19,,YES,,,,https://www.omnisend.com/,4,CA US GB AU,no,,,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR15772682600402911233
CR13723279787647041537,2026-08-19,,YES,,,,https://www.omnisend.com/,4,CA US GB AU,no,,,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR13723279787647041537
CR14352717415358398465,2026-08-19,,YES,,,,https://www.omnisend.com/2026-bfcm/,1,US,no,,,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR14352717415358398465
CR14902617952464404481,2026-08-19,,YES,,,,https://www.omnisend.com/woocommerce-plugin/,1,US,no,,,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR14902617952464404481
CR08089279333866143745,2026-08-06,,no,6:44,https://www.youtube.com/watch?v=DeacrOoZIX4,DeacrOoZIX4,https://support.omnisend.com/en/articles/15700809-what-s-new-july-2026,1,IN,yes,,,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR08089279333866143745
CR17219436561624465409,2026-07-03,2026-06-10,no,9:10,https://www.youtube.com/watch?v=kJzDtw94m3M,kJzDtw94m3M,https://support.omnisend.com/en/articles/15259528-what-s-new-june-2026,9,ES ZA BD VN PH IN PK IT GR,yes,,,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR17219436561624465409
CR04114088089813516289,2026-07-03,2026-06-19,no,,,,https://www.omnisend.com/katuciaveiki/,1,LT,no,,,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR04114088089813516289
CR09907969010425659393,2026-07-03,2026-06-19,no,,,,https://www.omnisend.com/katuciaveiki/,1,LT,no,,,https://adstransparency.google.com/advertiser/AR02247994610099945473/creative/CR09907969010425659393
